日期	诊别	科室编号	医生编号
2026-04-11	门诊	DEPT05	D017
2026-04-12	门诊	DEPT01	D003
2026-04-12	急诊	DEPT01	D004
2026-04-12	门诊	DEPT02	D006
2026-04-12	门诊	DEPT03	D011
2026-04-12	急诊	DEPT03	D012
2026-04-12	门诊	DEPT04	D014
2026-04-12	门诊	DEPT05	D019
2026-04-12	急诊	DEPT05	D018
2026-04-13	门诊	DEPT01	D001
2026-04-13	急诊	DEPT01	D002
2026-04-13	门诊	DEPT02	D005
2026-04-13	门诊	DEPT03	D009
2026-04-13	急诊	DEPT03	D010
2026-04-13	门诊	DEPT04	D013
2026-04-13	门诊	DEPT05	D017
2026-04-14	门诊	DEPT01	D003
2026-04-14	急诊	DEPT01	D004
2026-04-14	门诊	DEPT02	D006
2026-04-14	门诊	DEPT03	D011
2026-04-14	急诊	DEPT03	D012
2026-04-14	门诊	DEPT04	D014
2026-04-14	门诊	DEPT05	D019
2026-04-15	门诊	DEPT01	D001
2026-04-15	急诊	DEPT01	D002
2026-04-15	门诊	DEPT02	D005
2026-04-15	门诊	DEPT03	D009
2026-04-15	急诊	DEPT03	D010
2026-04-15	门诊	DEPT04	D013
2026-04-15	门诊	DEPT05	D017
2026-04-15	急诊	DEPT05	D020
2026-04-16	门诊	DEPT01	D003
2026-04-16	急诊	DEPT01	D004
2026-04-16	门诊	DEPT02	D006
2026-04-16	门诊	DEPT03	D011
2026-04-16	急诊	DEPT03	D012
2026-04-16	门诊	DEPT04	D014
2026-04-16	门诊	DEPT05	D019
2026-04-17	门诊	DEPT01	D001
2026-04-17	急诊	DEPT01	D002
2026-04-17	门诊	DEPT02	D005
2026-04-17	门诊	DEPT03	D009
2026-04-17	急诊	DEPT03	D010
2026-04-17	门诊	DEPT04	D013
2026-04-17	门诊	DEPT05	D017
2026-04-18	门诊	DEPT01	D003
2026-04-18	急诊	DEPT01	D004
2026-04-18	门诊	DEPT02	D006
2026-04-18	门诊	DEPT03	D011
2026-04-18	急诊	DEPT03	D012
2026-04-18	门诊	DEPT04	D014
2026-04-18	门诊	DEPT05	D019
2026-04-18	急诊	DEPT05	D018
2026-04-19	门诊	DEPT01	D001
2026-04-19	急诊	DEPT01	D002
2026-04-19	门诊	DEPT02	D005
2026-04-19	门诊	DEPT03	D009
2026-04-19	急诊	DEPT03	D010
2026-04-19	门诊	DEPT04	D013
2026-04-19	门诊	DEPT05	D017
2026-04-20	门诊	DEPT01	D003
2026-04-20	急诊	DEPT01	D004
2026-04-20	门诊	DEPT02	D006
2026-04-20	门诊	DEPT03	D011
2026-04-20	急诊	DEPT03	D012
2026-04-20	门诊	DEPT04	D014
2026-04-20	门诊	DEPT05	D019
2026-04-21	门诊	DEPT01	D001
2026-04-21	急诊	DEPT01	D002
2026-04-21	门诊	DEPT02	D005
2026-04-21	门诊	DEPT03	D009
2026-04-21	急诊	DEPT03	D010
2026-04-21	门诊	DEPT04	D013
2026-04-21	门诊	DEPT05	D017
2026-04-21	急诊	DEPT05	D020
2026-04-22	门诊	DEPT01	D003
2026-04-22	急诊	DEPT01	D004
2026-04-22	门诊	DEPT02	D006
2026-04-22	门诊	DEPT03	D011
2026-04-22	急诊	DEPT03	D012
2026-04-22	门诊	DEPT04	D014
2026-04-22	门诊	DEPT05	D019
2026-04-23	门诊	DEPT01	D001
2026-04-23	急诊	DEPT01	D002
2026-04-23	门诊	DEPT02	D005
2026-04-23	门诊	DEPT03	D009
2026-04-23	急诊	DEPT03	D010
2026-04-23	门诊	DEPT04	D013
2026-04-23	门诊	DEPT05	D017
2026-04-24	门诊	DEPT01	D003
2026-04-24	急诊	DEPT01	D004
2026-04-24	门诊	DEPT02	D006
2026-04-24	门诊	DEPT03	D011
2026-04-24	急诊	DEPT03	D012
2026-04-24	门诊	DEPT04	D014
2026-04-24	门诊	DEPT05	D019
2026-04-24	急诊	DEPT05	D018
2026-04-25	门诊	DEPT01	D001
2026-04-25	急诊	DEPT01	D002
2026-04-25	门诊	DEPT02	D005
2026-04-25	门诊	DEPT03	D009
2026-04-25	急诊	DEPT03	D010
2026-04-25	门诊	DEPT04	D013
2026-04-25	门诊	DEPT05	D017
2026-04-26	门诊	DEPT01	D003
2026-04-26	急诊	DEPT01	D004
2026-04-26	门诊	DEPT02	D006
2026-04-26	门诊	DEPT03	D011
2026-04-26	急诊	DEPT03	D012
2026-04-26	门诊	DEPT04	D014
2026-04-26	门诊	DEPT05	D019
2026-04-27	门诊	DEPT01	D001
2026-04-27	急诊	DEPT01	D002
2026-04-27	门诊	DEPT02	D005
2026-04-27	门诊	DEPT03	D009
2026-04-27	急诊	DEPT03	D010
2026-04-27	门诊	DEPT04	D013
2026-04-27	门诊	DEPT05	D017
2026-04-27	急诊	DEPT05	D020
2026-04-28	门诊	DEPT01	D003
2026-04-28	急诊	DEPT01	D004
2026-04-28	门诊	DEPT02	D006
2026-04-28	门诊	DEPT03	D011
2026-04-28	急诊	DEPT03	D012
2026-04-28	门诊	DEPT04	D014
2026-04-28	门诊	DEPT05	D019
2026-04-29	门诊	DEPT01	D001
2026-04-29	急诊	DEPT01	D002
2026-04-29	门诊	DEPT02	D005
2026-04-29	门诊	DEPT03	D009
2026-04-29	急诊	DEPT03	D010
2026-04-29	门诊	DEPT04	D013
2026-04-29	门诊	DEPT05	D017
2026-04-30	门诊	DEPT01	D003
2026-04-30	急诊	DEPT01	D004
2026-04-30	门诊	DEPT02	D006
2026-04-30	门诊	DEPT03	D011
2026-04-30	急诊	DEPT03	D012
2026-04-30	门诊	DEPT04	D014
2026-04-30	门诊	DEPT05	D019
2026-04-30	急诊	DEPT05	D018
